,veh/veh,veh/veh,veh/veh,veh/veh,veh/veh,veh/veh,veh/veh,veh/veh,veh/amph,veh/amph,veh/amph,veh/amph,veh/amph,veh/amph,veh/amph,veh/amph,"0.32 halo/amph","0.32 halo/amph","0.32 halo/amph","0.32 halo/amph","0.32 halo/amph","0.32 halo/amph","0.32 halo/amph","0.32 halo/amph","1 GSK/amph","1 GSK/amph","1 GSK/amph","1 GSK/amph","1 GSK/amph","1 GSK/amph","1 GSK/amph","1 GSK/amph","3.2 GSK/amph","3.2 GSK/amph","3.2 GSK/amph","3.2 GSK/amph","3.2 GSK/amph","3.2 GSK/amph","3.2 GSK/amph","3.2 GSK/amph","10 GSK/amph","10 GSK/amph","10 GSK/amph","10 GSK/amph","10 GSK/amph","10 GSK/amph","10 GSK/amph","10 GSK/amph"
-80,1509,1578,2414,1877,2256,1788,2003,2725,1358,2122,1992,2591,1974,2378,2387,1742,2122,2105,2263,1807,1380,2388,2341,1759,1185,2410,1042,2023,2508,2460,1747,914,1497,3012,2071,2622,2123,2578,2535,3207,1831,2502,1403,1846,1646,2289,2070,2225
-70,1165,1232,2170,1381,2097,1221,1336,1376,1207,1433,1653,1230,1471,2133,1969,2222,717,1898,1777,1218,1350,2074,1336,835,1218,2140,1086,1281,1943,1967,1376,886,1476,2223,1298,2157,1189,1786,1377,1831,1557,1745,1189,1117,1288,1705,1458,1120
-60,878,836,2167,1646,2096,936,908,1501,820,1644,1101,1187,1624,2476,1521,2204,1316,2045,1395,1023,877,2077,1381,915,814,1767,1130,1169,1666,1992,1234,616,901,2024,1219,1714,1143,1342,1504,1512,1181,1501,957,1165,1156,1967,1445,1168
-50,790,638,1440,1591,1687,891,1111,964,1399,927,1107,1034,757,1600,827,2326,851,1515,773,1093,743,1880,905,317,949,1756,1089,908,1308,2075,1318,554,1140,1917,1328,1549,1103,896,1414,1186,974,1650,848,775,1124,1434,1288,794
-40,1005,593,875,1485,1355,478,803,751,1354,800,745,777,1375,1812,1202,1842,547,912,825,990,858,1684,1014,1495,640,1183,750,816,951,1869,874,879,1436,1774,1237,1454,1193,965,1298,1148,1069,1324,1496,817,574,1308,1340,662
-30,386,371,994,726,1344,916,846,738,713,1056,858,446,1070,1037,1245,2696,484,669,596,715,559,1942,1200,496,715,853,459,711,812,1945,1164,341,1350,2042,1222,1358,845,1072,786,820,804,876,1084,1329,874,1214,926,258
-20,475,729,652,306,385,772,898,102,612,576,601,216,1054,1655,1130,1826,498,389,251,400,249,942,605,309,682,1541,1266,697,961,1478,956,465,636,2009,1094,1257,868,907,1242,440,462,949,888,360,485,641,1125,350
-10,218,396,498,195,215,333,1100,378,679,245,278,385,977,1431,1089,927,279,360,307,85,13,1372,537,0,315,785,1806,90,3,1835,603,233,699,1096,797,782,1199,558,898,0,408,657,1137,410,901,989,948,268
0,135,370,2,154,0,0,487,325,303,432,195,168,453,325,338,842,154,290,1,94,0,1593,142,3,388,1037,1598,5,822,269,468,163,291,1133,476,1310,564,1158,804,345,212,1258,764,3,360,1107,370,73
10,567,371,602,716,1069,445,606,630,2020,1205,1414,719,2478,1693,2502,705,630,245,202,113,364,134,0,207,1149,677,2692,1884,1883,3446,1851,83,38,2708,1741,3622,2824,2229,2258,3433,46,937,327,181,98,2954,414,685
20,290,209,431,934,404,233,165,333,2545,853,2524,1547,3945,2210,3640,1370,165,52,1,38,33,2,45,62,3004,765,4623,4794,2890,4361,2439,936,516,4276,2319,2725,3628,1841,1592,4093,348,1315,416,55,295,2223,641,64
30,9,158,351,9,0,1,261,170,2081,728,3813,975,3996,1166,4300,891,14,0,0,0,44,50,26,0,2551,934,4217,4557,3032,3068,965,2015,1393,5024,1394,1739,2753,1248,1743,4720,1354,1467,583,159,1012,1910,434,451
40,6,0,0,177,106,5,279,22,1305,573,2504,387,2362,877,2733,826,67,0,5,1,0,36,0,0,2149,828,2427,2805,1356,1925,876,882,592,4193,514,755,1062,856,1254,2959,1203,826,462,303,1000,1921,540,350
50,0,310,0,1,0,10,0,2,795,237,1110,294,1218,465,1077,247,6,49,0,0,0,0,0,0,936,297,815,764,797,860,498,486,121,749,88,781,494,112,486,417,1298,721,337,341,415,1149,85,293
60,0,66,226,0,0,1,0,0,269,458,592,171,489,717,599,276,82,0,14,0,0,0,0,0,582,322,718,828,454,1159,411,448,381,172,472,195,312,190,492,748,814,206,304,409,243,1127,210,454
70,1,102,0,0,0,2,0,0,239,322,738,131,130,797,571,202,39,0,1,0,0,28,1,0,484,118,358,314,161,327,688,395,495,174,302,653,175,0,426,838,1473,174,1,213,514,544,23,898
80,0,0,0,0,601,0,0,1,1,360,816,307,243,446,234,240,34,0,0,0,0,0,0,0,174,826,595,301,726,263,227,188,398,390,443,1328,464,195,543,626,558,207,279,70,103,631,441,764
90,0,18,0,407,207,0,395,138,466,1,183,320,337,0,75,467,10,0,0,0,0,0,0,3,361,223,2,174,414,96,50,175,417,160,437,275,298,94,309,296,0,546,0,18,3,39,268,210